Start: 2024-10-05T00:00:29+0000
HOST: ip-172-30-1-57.us-west-1.co Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 244.5.0.165                0.0%   100    9.2  12.4   1.4 100.0  20.1
  2.|-- 240.0.176.4                0.0%   100    1.3   0.9   0.3   1.8   0.3
  3.|-- 240.0.236.14               0.0%   100   82.2 264.2  62.6 1294. 289.5
  4.|-- 242.2.212.49               0.0%   100   68.9  63.0  61.3  79.6   2.5
  5.|-- 240.3.16.97                0.0%   100   63.7  63.4  62.7  65.1   0.4
  6.|-- 242.7.136.197              0.0%   100   67.6  77.0  63.8 180.1  25.1
  7.|-- 34.201.142.18              0.0%   100   63.8  63.7  63.0  64.3   0.3
Start: 2024-10-05T00:03:01+0000
HOST: ip-172-30-1-57.us-west-1.co Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 244.5.0.107                0.0%   100    5.1  15.0   1.0 121.5  23.5
  2.|-- 240.0.176.2                0.0%   100    0.8   0.9   0.3   2.0   0.3
  3.|-- 242.2.42.37                0.0%   100    1.6   2.9   0.5  21.1   3.4
  4.|-- 240.1.172.13               0.0%   100  174.4 174.7 174.0 176.5   0.4
  5.|-- 242.4.84.25                0.0%   100  173.9 175.2 173.5 187.2   2.5
  6.|-- 240.6.20.1                 0.0%   100  173.9 174.1 173.5 174.9   0.3
  7.|-- 242.18.24.137              0.0%   100  181.3 188.1 174.9 280.6  20.4
  8.|-- 52.74.244.78               0.0%   100  174.9 175.1 174.0 176.1   0.4
Start: 2024-10-05T00:06:50+0000
HOST: ip-172-30-1-57.us-west-1.co Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 244.5.0.173                0.0%   100   40.5  15.8   1.5 112.0  25.6
  2.|-- 240.0.176.39               0.0%   100    0.5   0.9   0.3   1.8   0.3
  3.|-- 242.2.42.37                0.0%   100    2.3   2.0   0.6  11.4   2.0
  4.|-- 240.2.96.14                0.0%   100  146.7 146.6 146.0 147.9   0.4
  5.|-- 52.94.35.29                0.0%   100  147.0 148.7 146.8 162.9   3.0
  6.|-- 52.94.35.4                 0.0%   100  147.5 148.2 147.0 161.8   1.9
  7.|-- 15.230.158.9               0.0%   100  150.5 149.3 146.4 165.9   4.0
  8.|-- 15.230.158.6               0.0%   100  155.6 152.6 147.0 203.1   8.9
  9.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
 10.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
 11.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
 12.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
 13.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
 14.|-- 100.65.19.193              0.0%   100  154.7 162.5 148.1 265.6  23.7
 15.|-- 18.132.44.229              0.0%   100  149.1 149.0 148.1 150.5   0.5
Start: 2024-10-05T00:16:11+0000
HOST: ip-172-30-1-57.us-west-1.co Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 244.5.0.173                0.0%   100   66.6  11.8   1.5  88.2  17.1
  2.|-- 240.0.176.39               0.0%   100    0.6   0.9   0.3   1.7   0.3
  3.|-- 242.2.42.37                0.0%   100    3.2   1.8   0.3  15.4   2.0
  4.|-- 240.2.96.14                0.0%   100  147.6 147.4 146.8 148.6   0.4
  5.|-- 52.94.35.29                0.0%   100  148.5 150.1 147.6 167.3   3.8
  6.|-- 52.94.35.4                 0.0%   100  148.0 149.2 147.8 155.6   1.2
  7.|-- 15.230.158.9               0.0%   100  153.7 156.7 147.3 230.6  16.8
  8.|-- 15.230.158.6               0.0%   100  155.3 155.5 148.0 216.1  11.4
  9.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
 10.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
 11.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
 12.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
 13.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
 14.|-- 100.65.19.193              0.0%   100  150.2 165.5 150.0 265.5  26.2
 15.|-- 18.132.44.229              0.0%   100  149.5 149.8 148.7 151.6   0.5
