Start: 2024-10-05T00:11:24+0000
HOST: ip-172-30-0-49.ec2.internal Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 244.5.0.117                0.0%   100    4.4  12.9   1.0 101.6  18.7
  2.|-- 240.3.16.97                0.0%   100    0.4   0.5   0.4   1.6   0.1
  3.|-- 242.7.113.195              0.0%   100    4.9   3.6   0.6  20.3   4.1
  4.|-- 240.0.176.15               0.0%   100   63.3  63.4  63.2  64.8   0.2
  5.|-- 242.16.41.137              0.0%   100   60.6  61.4  60.2  74.3   2.4
  6.|-- 240.0.176.1                0.0%   100   63.9  64.0  63.9  64.2   0.1
  7.|-- 242.2.40.225               0.0%   100   69.7  75.4  62.8 156.0  19.8
  8.|-- 54.215.43.60               0.0%   100   63.5  63.6  63.0  64.5   0.3
Start: 2024-10-05T00:14:19+0000
HOST: ip-172-30-0-49.ec2.internal Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 244.5.3.219                0.0%   100    4.9  14.8   0.8 105.5  24.2
  2.|-- 240.3.140.68               0.0%   100    0.4   0.5   0.4   0.6   0.0
  3.|-- 242.9.163.23               0.0%   100    0.8   2.4   0.8  18.3   3.6
  4.|-- 240.1.172.15               0.0%   100  212.1 212.2 212.1 213.6   0.2
  5.|-- 242.4.85.25                0.0%   100  216.6 213.6 211.8 229.2   3.4
  6.|-- 240.3.56.1                 0.0%   100  214.2 214.2 214.1 214.3   0.0
  7.|-- 241.0.13.5                 0.0%   100  212.6 212.5 212.5 212.6   0.0
  8.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
  9.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
 10.|-- 100.65.31.225              0.0%   100  216.5 225.4 213.2 299.3  18.8
 11.|-- 52.74.244.78               0.0%   100  213.2 213.2 212.7 214.2   0.3
Start: 2024-10-05T00:16:36+0000
HOST: ip-172-30-0-49.ec2.internal Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 244.5.0.65                 0.0%   100    5.2  11.6   1.1  77.3  15.5
  2.|-- 240.3.16.96                0.0%   100    0.5   0.5   0.4   1.1   0.1
  3.|-- 242.7.113.197              0.0%   100    0.8   1.9   0.7  21.3   2.7
  4.|-- 240.2.96.13                0.0%   100   74.9  75.0  74.9  75.2   0.1
  5.|-- 52.94.35.39                0.0%   100   75.4  75.7  74.7  95.9   2.6
  6.|-- 52.94.35.22                0.0%   100   75.5  76.2  75.0  88.6   2.3
  7.|-- 15.230.158.37              0.0%   100   75.2  77.4  74.8  89.5   2.9
  8.|-- 15.230.158.26              0.0%   100   75.4  78.9  74.9 133.8   7.8
  9.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
 10.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
 11.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
 12.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
 13.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
 14.|-- 100.65.19.17               0.0%   100   76.0  88.8  75.8 189.3  23.1
 15.|-- 18.132.44.229              0.0%   100   76.0  75.8  75.3  76.9   0.3
