Start: 2024-10-05T00:03:55+0000
HOST: ip-172-30-0-168.ap-southeas Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 244.5.0.103                0.0%   100    2.5  17.0   1.2 110.9  28.6
  2.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
  3.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
  4.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
  5.|-- 241.0.13.1                 0.0%   100    1.6   0.9   0.3   2.9   0.4
  6.|-- 242.7.244.7                0.0%   100    1.3   3.4   0.9  46.7   5.7
  7.|-- 240.0.168.3                0.0%   100  174.7 174.3 173.7 176.6   0.4
  8.|-- 242.2.26.33                0.0%   100  174.0 175.9 173.5 225.0   6.0
  9.|-- 240.0.176.39               0.0%   100  174.1 174.7 174.1 175.6   0.3
 10.|-- 242.16.43.129              0.0%   100  204.6 180.0 169.6 255.3  17.1
 11.|-- 54.215.43.60               0.0%   100  174.9 175.2 174.3 176.6   0.5
Start: 2024-10-05T00:07:09+0000
HOST: ip-172-30-0-168.ap-southeas Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 244.5.0.109                0.0%   100    1.2  14.4   1.2 115.1  22.0
  2.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
  3.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
  4.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
  5.|-- 241.0.13.4                 0.0%   100    1.5   0.8   0.3   1.7   0.3
  6.|-- 242.7.245.5                0.0%   100    1.1   2.1   0.4  26.8   3.5
  7.|-- 240.0.184.35               0.0%   100  254.2 1156. 216.0 2224. 582.5
  8.|-- 242.3.85.177               0.0%   100  211.0 211.7 209.8 229.3   3.2
  9.|-- 240.4.88.38                0.0%   100  210.4 210.8 210.2 211.6   0.3
 10.|-- 242.12.19.45               0.0%   100  214.7 223.9 212.8 280.5  17.1
 11.|-- 34.201.142.18              0.0%   100  213.0 213.1 212.5 214.2   0.3
Start: 2024-10-05T00:09:19+0000
HOST: ip-172-30-0-168.ap-southeas Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 244.5.0.107                0.0%   100    6.9  14.3   1.4  98.1  21.4
  2.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
  3.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
  4.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
  5.|-- 241.0.13.8                 0.0%   100    0.6   0.8   0.3   2.2   0.4
  6.|-- 242.7.245.3                0.0%   100    1.3   2.6   0.4  69.1   7.0
  7.|-- 240.2.112.15               0.0%   100  161.4 161.5 161.0 162.4   0.3
  8.|-- 52.94.35.123               0.0%   100  162.5 163.9 162.0 195.6   3.9
  9.|-- 52.94.35.66                0.0%   100  154.6 155.0 153.0 166.9   2.3
 10.|-- 52.94.33.163               0.0%   100  167.1 166.5 163.7 182.8   3.4
 11.|-- 52.94.33.10                0.0%   100  158.7 157.2 153.4 181.0   4.9
 12.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
 13.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
 14.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
 15.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
 16.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
 17.|-- 100.65.18.65               0.0%   100  224.2 177.1 162.7 282.8  25.4
 18.|-- 18.132.44.229              0.0%   100  154.6 154.1 153.2 155.5   0.5
