Start: 2024-10-05T00:20:14+0000
HOST: ip-172-31-45-119.eu-west-2. Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 52.56.0.19                 0.0%   100    8.7  11.5   1.3 118.1  19.6
  2.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
  3.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
  4.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
  5.|-- 240.2.152.6                0.0%   100    1.2   1.0   0.4   2.1   0.4
  6.|-- 240.0.168.3                0.0%   100  147.0 146.9 146.2 147.7   0.4
  7.|-- 242.2.26.161               0.0%   100  149.0 149.2 146.8 169.5   3.0
  8.|-- 240.0.176.37               0.0%   100  148.6 148.1 147.4 149.1   0.4
  9.|-- 242.16.42.129              0.0%   100  150.1 159.3 148.2 257.6  20.1
 10.|-- 54.215.43.60               0.0%   100  151.0 149.9 148.9 151.0   0.5
Start: 2024-10-05T00:23:04+0000
HOST: ip-172-31-45-119.eu-west-2. Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 244.5.0.121                0.0%   100    4.8  12.6   1.6  86.5  17.6
  2.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
  3.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
  4.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
  5.|-- 240.2.152.4                0.0%   100    0.4   0.9   0.4   1.6   0.3
  6.|-- 242.6.150.35               0.0%   100    2.4   3.2   0.5  39.3   4.8
  7.|-- 240.0.236.35               0.0%   100   76.4  76.4  75.4  94.5   2.4
  8.|-- 242.2.212.49               0.0%   100   74.6  76.6  74.4 106.5   4.2
  9.|-- 240.0.32.3                 0.0%   100   75.9  75.9  75.3  77.0   0.4
 10.|-- 240.0.32.21                0.0%   100   75.2  75.2  74.5  76.1   0.4
 11.|-- 240.0.32.53                0.0%   100   75.0  75.2  74.6  76.3   0.4
 12.|-- 242.1.207.5                0.0%   100  132.7  90.2  75.5 182.0  25.2
 13.|-- 34.201.142.18              0.0%   100   75.4  76.0  75.4  77.0   0.4
Start: 2024-10-05T00:36:26+0000
HOST: ip-172-31-45-119.eu-west-2. Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 52.56.0.27                 0.0%   100    9.6  19.2   1.1 119.8  31.5
  2.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
  3.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
  4.|-- ???                       100.0   100    0.0   0.0   0.0   0.0   0.0
  5.|-- 240.2.152.5                0.0%   100    2.2   0.9   0.4   2.4   0.4
  6.|-- 242.6.150.39               0.0%   100    2.1   2.8   0.4  44.4   5.7
  7.|-- 240.1.172.14               0.0%   100  152.2 154.2 151.7 336.3  18.4
  8.|-- 242.4.85.153               0.0%   100  152.3 153.6 151.6 178.7   3.6
  9.|-- 240.6.20.2                 0.0%   100  163.6 163.9 163.3 164.9   0.4
 10.|-- 242.18.25.9                0.0%   100  213.4 174.1 164.2 225.6  14.6
 11.|-- 52.74.244.78               0.0%   100  154.0 154.2 153.3 155.4   0.5
